loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
8000.0,0,5938.0,0.0,8342.110922498001,0,8342.11,0.0,0.0,0.0,6847.03,0,342.11,15,8000.0,1,0,7.99,0,10.0,1,1,0,0,0,0,57000.0,0.08493150684931507
5000.0,0,10377.0,0.0,5267.9055875115,0,5267.91,0.0,0.0,0.0,4452.15,0,267.91,6,5000.0,1,0,11.44,1,10.0,3,1,0,0,0,0,60000.0,0.08493150684931507
8400.0,0,19885.0,0.0,9023.279967839,0,9023.28,0.0,0.0,0.0,7099.31,0,623.28,21,8400.0,0,0,11.44,1,10.0,1,1,0,0,0,0,70000.0,0.16712328767123288
7175.0,0,3383.0,0.0,7536.7736568761,0,7536.77,0.0,0.0,0.0,6819.83,0,361.77,9,7175.0,1,0,13.49,2,10.0,1,2,0,0,0,0,65000.0,0.08493150684931507
6000.0,0,4662.0,0.0,6334.5339979438,0,6334.53,0.0,0.0,0.0,5526.03,0,334.53,5,6000.0,0,0,13.99,2,10.0,3,1,0,0,0,0,34278.0,0.4191780821917808
10000.0,0,14235.0,0.0,10587.252371299799,0,10587.25,0.0,0.0,0.0,8082.85,0,587.25,42,10000.0,0,0,8.24,1,9.0,3,2,0,0,0,0,40000.0,0.08493150684931507
2000.0,0,6288.0,0.0,2035.9764479094001,0,2035.98,0.0,0.0,0.0,1913.64,0,35.98,9,2000.0,0,0,7.49,0,6.0,3,1,0,0,0,0,42000.0,0.08493150684931507
12000.0,0,5206.0,0.0,12899.7755321095,0,12899.78,20.8000000273,0.0,0.0,10824.31,0,878.98,43,12000.0,1,0,14.99,2,10.0,1,2,0,0,0,0,68000.0,0.336986301369863
3500.0,0,3214.0,0.0,3537.6074579968,0,3537.61,0.0,0.0,0.0,3541.49,0,37.61,3,3500.0,1,0,7.99,0,8.0,1,2,0,0,0,0,145000.0,0.08493150684931507
10000.0,0,128691.0,0.0,10490.8608708465,0,10490.86,0.0,0.0,0.0,8880.53,0,490.86,4,10000.0,0,0,10.49,1,10.0,1,1,0,0,0,0,99000.0,0.08493150684931507
10000.0,0,32107.0,0.0,10951.075499034201,0,10951.08,0.0,0.0,0.0,8236.67,0,951.08,6,10000.0,0,0,13.99,2,8.0,2,3,0,0,0,0,100000.0,0.08493150684931507
25075.0,0,8922.0,0.0,25418.612843875802,0,25418.61,0.0,0.0,0.0,25470.81,0,343.61,26,25075.0,0,1,14.99,2,10.0,1,8,0,0,0,0,64000.0,0.08493150684931507
12000.0,0,43219.0,0.0,12005.7788000002,0,12005.78,0.0,0.0,0.0,12027.01,0,5.78,36,12000.0,0,1,12.74,2,3.0,1,8,0,0,0,0,122496.0,0.08493150684931507
20000.0,0,19938.0,0.0,20331.0568647991,0,20331.06,0.0,0.0,0.0,20369.92,0,331.06,1,20000.0,1,0,13.99,2,10.0,3,1,0,0,0,0,72000.0,0.7479452054794521
12000.0,0,1466.0,0.0,12903.3537529082,0,12903.35,0.0,0.0,0.0,11931.75,0,903.35,46,12000.0,1,1,22.74,4,3.0,3,2,0,0,0,0,57000.0,0.25205479452054796
9000.0,0,7431.0,0.0,9518.147710357,0,9518.15,0.0,0.0,0.0,8289.09,0,518.15,26,9000.0,0,0,14.99,2,3.0,1,0,0,0,0,0,60000.0,0.08493150684931507
19775.0,0,5543.0,0.0,20163.567495946798,0,20163.57,0.0,0.0,0.0,20210.23,0,388.57,9,19775.0,2,0,16.99,3,10.0,1,8,0,0,0,0,43000.0,0.6712328767123288
25000.0,0,11170.0,0.0,28415.2025957179,0,28415.2,0.0,0.0,0.0,24748.11,0,3415.2,18,25000.0,0,1,24.74,4,3.0,3,2,0,0,0,0,97000.0,0.16712328767123288
9000.0,0,3404.0,0.0,9270.838750149,0,9270.84,0.0,0.0,0.0,8698.99,0,270.84,13,9000.0,1,0,10.49,1,0.0,1,2,0,0,0,0,60000.0,0.336986301369863
7000.0,0,12594.0,0.0,285.1,0,285.1,0.0,0.0,0.0,309.88,0,153.65,14,131.45,1,0,25.49,4,10.0,1,1,0,1,0,0,36000.0,0.25205479452054796
20000.0,0,2254.0,0.0,20427.6396039577,0,20427.64,0.0,0.0,0.0,19192.63,0,427.64,18,20000.0,0,0,8.24,1,2.0,2,2,0,0,0,0,80000.0,0.5863013698630137
22000.0,0,33101.0,0.0,24055.6309226195,0,24055.63,0.0,0.0,0.0,20924.26,0,2055.63,5,22000.0,0,1,17.99,3,1.0,1,1,0,0,0,0,94400.0,0.08493150684931507
8000.0,1,8378.0,6498.82,2171.58,0,2171.58,0.0,0.0,0.0,273.39,0,670.4,37,1501.18,0,0,13.99,2,3.0,3,2,0,1,1,0,50000.0,0.08493150684931507
2100.0,0,59783.0,0.0,2218.327576734,0,2218.33,0.0,0.0,0.0,1940.05,0,118.33,4,2100.0,1,0,12.74,2,10.0,1,8,0,0,0,0,134000.0,0.08493150684931507
20000.0,0,28164.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,18,0.0,0,0,11.44,1,10.0,3,2,0,1,0,0,125000.0,0.08493150684931507
12000.0,0,17772.0,0.0,12847.6221976707,0,12847.62,0.0,0.0,0.0,11475.14,0,847.62,14,12000.0,0,1,13.99,2,10.0,1,2,0,0,0,0,78000.0,0.336986301369863
9225.0,0,24556.0,0.0,10486.846824895,0,10486.85,0.0,0.0,0.0,7770.14,1,1261.85,43,9225.0,2,0,19.99,3,10.0,1,10,0,0,0,0,70000.0,0.08493150684931507
18200.0,0,14541.0,0.0,20229.6474211668,0,20229.65,0.0,0.0,0.0,17460.94,0,2029.65,22,18200.0,1,1,21.49,3,10.0,3,1,0,0,0,0,57000.0,0.08493150684931507
8500.0,0,8682.0,0.0,9026.3057279486,0,9026.31,0.0,0.0,0.0,7301.25,0,526.31,33,8500.0,0,0,10.49,1,10.0,2,1,0,0,0,0,65000.0,0.25205479452054796
20000.0,0,24039.0,0.0,21433.8511926525,0,21433.85,0.0,0.0,0.0,17366.85,0,1433.85,8,20000.0,2,0,14.99,2,2.0,1,1,0,0,0,0,75000.0,0.08493150684931507
15000.0,0,5791.0,0.0,15811.868447839499,0,15811.87,0.0,0.0,0.0,13364.6,0,811.87,9,15000.0,2,0,11.44,1,10.0,1,2,0,0,0,0,78000.0,0.336986301369863
5000.0,0,4437.0,0.0,5188.5625398776,0,5188.56,0.0,0.0,0.0,4858.61,0,188.56,48,5000.0,2,0,13.49,2,10.0,3,1,0,0,0,0,57000.0,0.08493150684931507
7000.0,0,9033.0,0.0,7954.1931033835,0,7954.19,0.0,0.0,0.0,6116.65,0,954.19,3,7000.0,2,0,21.49,3,10.0,1,2,0,0,0,0,41000.0,0.08493150684931507
1500.0,0,14705.0,1223.9,331.36,0,331.36,0.0,0.0,0.0,47.18,0,55.26,13,276.1,0,0,8.24,1,5.0,1,2,0,1,0,0,57000.0,0.08493150684931507
18000.0,0,21199.0,16303.4,3281.63,0,3281.63,0.0,0.0,0.0,428.13,0,1585.03,34,1696.6,2,1,14.99,2,10.0,1,3,0,1,0,0,88000.0,0.08493150684931507
25125.0,0,5374.0,0.0,4172.64,0,4172.64,0.0,0.0,0.0,843.42,0,1227.38,33,2945.26,0,0,12.74,2,10.0,2,1,0,1,0,0,75000.0,0.08493150684931507
10000.0,0,3874.0,0.0,10790.7179927233,0,10790.72,0.0,0.0,0.0,9682.73,0,790.72,4,10000.0,2,0,21.49,3,10.0,3,2,0,0,0,0,71000.0,0.5041095890410959
20000.0,0,10289.0,17218.26,4061.9,0,4061.9,0.0,0.0,0.0,683.46,0,1280.16,33,2781.74,1,0,13.99,2,10.0,3,1,0,1,0,0,80000.0,0.08493150684931507
1000.0,0,8625.0,0.0,1010.7363616673,0,1010.74,0.0,0.0,0.0,1012.33,0,10.74,14,1000.0,1,0,11.44,1,3.0,1,8,0,0,0,0,69000.0,0.08493150684931507
7000.0,0,1031.0,0.0,7098.232092388001,0,7098.23,0.0,0.0,0.0,7110.62,0,98.23,9,7000.0,1,0,12.74,2,10.0,1,2,0,0,0,0,30000.0,0.16712328767123288
30000.0,0,113446.0,0.0,31973.7420810312,0,31973.74,0.0,0.0,0.0,10673.08,0,1973.74,5,30000.0,2,1,19.99,3,10.0,1,1,0,0,0,0,118018.0,0.5041095890410959
6400.0,0,10513.0,0.0,6466.4461786077,0,6466.45,0.0,0.0,0.0,6476.57,0,66.45,18,6400.0,1,0,11.39,1,3.0,1,1,0,0,0,0,100000.0,0.08493150684931507
24625.0,0,7254.0,0.0,26183.910020310297,0,26183.91,0.0,0.0,0.0,23575.05,0,1558.91,41,24625.0,0,0,17.99,3,10.0,1,2,0,0,0,0,56000.0,0.16712328767123288
7500.0,0,38097.0,0.0,7867.482720356999,0,7867.48,0.0,0.0,0.0,6460.9,0,367.48,4,7500.0,2,0,8.24,1,10.0,1,3,0,0,0,0,110000.0,0.25205479452054796
20000.0,0,16903.0,0.0,21702.7503623288,0,21702.75,0.0,0.0,0.0,16423.75,0,1702.75,26,20000.0,0,0,13.49,2,10.0,3,2,0,0,0,0,65000.0,0.16712328767123288
8000.0,0,11690.0,0.0,8335.4947807708,0,8335.49,0.0,0.0,0.0,7797.57,0,335.49,33,8000.0,0,0,14.99,2,9.0,1,3,0,0,0,0,103000.0,0.08493150684931507
20000.0,0,35121.0,0.0,21143.770269867,0,21143.77,0.0,0.0,0.0,20110.26,0,1143.77,44,20000.0,0,1,21.49,3,10.0,3,2,0,0,0,0,58231.0,0.5863013698630137
4000.0,0,8357.0,0.0,4167.1646871868,0,4167.16,0.0,0.0,0.0,3771.4,0,167.16,42,4000.0,1,0,12.74,2,9.0,1,1,0,0,0,0,119000.0,0.336986301369863
10000.0,0,727.0,0.0,10533.4349491129,0,10533.43,0.0,0.0,0.0,8903.05,0,533.43,33,10000.0,0,0,11.39,1,10.0,3,2,0,0,0,0,80000.0,0.336986301369863
15000.0,0,11509.0,0.0,15260.767489846,0,15260.77,0.0,0.0,0.0,15298.25,0,260.77,34,15000.0,0,0,17.99,3,6.0,1,2,0,0,0,0,55000.0,0.25205479452054796
10000.0,0,15923.0,0.0,10364.5290314174,0,10364.53,0.0,0.0,0.0,123.15,0,364.53,33,10000.0,0,0,15.99,2,10.0,2,3,0,0,0,0,120000.0,0.6712328767123288
15000.0,0,9550.0,11941.52,3703.4,0,3703.4,0.0,0.0,0.0,464.81,0,644.92,34,3058.48,0,0,7.24,0,5.0,2,8,0,1,0,0,125000.0,0.08493150684931507
9000.0,0,6493.0,0.0,9641.0037748061,0,9641.0,0.0,0.0,0.0,8378.92,0,641.0,14,9000.0,1,0,16.99,3,8.0,1,1,0,0,0,0,63000.0,0.4191780821917808
